,metric,value,step
0,Loss/Contrast,6.686554908752441,86700.0
28,Loss/Contrast,6.686769962310791,86700.0
29,Loss/Contrast,6.65716028213501,86701.0
30,Loss/Contrast,6.667969703674316,86702.0
1,Loss/Contrast,6.669662952423096,86702.0
2,Loss/Contrast,6.620165824890137,86703.0
31,Loss/Contrast,6.623156547546387,86703.0
3,Loss/Contrast,6.668990612030029,86705.0
32,Loss/Contrast,6.673495769500732,86705.0
33,Loss/Contrast,6.618503093719482,86706.0
4,Loss/Contrast,6.654745578765869,86707.0
34,Loss/Contrast,6.655180931091309,86707.0
5,Loss/Contrast,6.644911289215088,86708.0
35,Loss/Contrast,6.648998737335205,86708.0
36,Loss/Contrast,6.693976402282715,86709.0
6,Loss/Contrast,6.709264755249023,86710.0
37,Loss/Contrast,6.70405387878418,86710.0
38,Loss/Contrast,6.64998722076416,86711.0
39,Loss/Contrast,6.6592302322387695,86712.0
7,Loss/Contrast,6.699911594390869,86713.0
8,Loss/Contrast,6.66041898727417,86715.0
40,Loss/Contrast,6.702472686767578,86716.0
9,Loss/Contrast,6.706759452819824,86716.0
41,Loss/Contrast,6.731091022491455,86717.0
10,Loss/Contrast,6.7273149490356445,86717.0
42,Loss/Contrast,6.639797687530518,86718.0
43,Loss/Contrast,6.622948169708252,86719.0
11,Loss/Contrast,6.613070487976074,86719.0
44,Loss/Contrast,6.634207248687744,86721.0
12,Loss/Contrast,6.644560813903809,86721.0
45,Loss/Contrast,6.572765827178955,86722.0
13,Loss/Contrast,6.585855007171631,86722.0
46,Loss/Contrast,6.6583251953125,86723.0
14,Loss/Contrast,6.645136833190918,86723.0
47,Loss/Contrast,6.608583927154541,86724.0
15,Loss/Contrast,6.5967817306518555,86724.0
48,Loss/Contrast,6.587635040283203,86725.0
16,Loss/Contrast,6.609034538269043,86726.0
49,Loss/Contrast,6.665511131286621,86727.0
17,Loss/Contrast,6.612259864807129,86728.0
50,Loss/Contrast,6.610726356506348,86728.0
18,Loss/Contrast,6.618764400482178,86729.0
51,Loss/Contrast,6.656758785247803,86730.0
19,Loss/Contrast,6.650435924530029,86730.0
20,Loss/Contrast,6.60317325592041,86732.0
52,Loss/Contrast,6.606020927429199,86732.0
53,Loss/Contrast,6.665693283081055,86733.0
54,Loss/Contrast,6.634758472442627,86734.0
21,Loss/Contrast,6.634482383728027,86736.0
55,Loss/Contrast,6.650393962860107,86736.0
22,Loss/Contrast,6.644214153289795,86737.0
56,Loss/Contrast,6.647402286529541,86737.0
57,Loss/Contrast,6.625035762786865,86738.0
23,Loss/Contrast,6.630225658416748,86738.0
58,Loss/Contrast,6.56572151184082,86739.0
24,Loss/Contrast,6.580451011657715,86739.0
59,Loss/Contrast,6.607349395751953,86740.0
25,Loss/Contrast,6.603923797607422,86740.0
60,Loss/Contrast,6.654628753662109,86741.0
26,Loss/Contrast,6.617539882659912,86742.0
61,Loss/Contrast,6.601616859436035,86743.0
27,Loss/Contrast,6.600210189819336,86743.0
62,Loss/Contrast,6.619115352630615,86745.0
63,Loss/Contrast,6.617478847503662,86746.0
64,Loss/Contrast,6.641510963439941,86748.0
65,Loss/Contrast,6.640650749206543,86750.0
66,Loss/Contrast,6.600065231323242,86751.0
67,Loss/Contrast,6.62534236907959,86752.0
68,Loss/Contrast,6.607499122619629,86754.0
69,Loss/Contrast,6.718603610992432,86755.0
70,Loss/Contrast,6.6371917724609375,86756.0
71,Loss/Contrast,6.600281715393066,86757.0
72,Loss/Contrast,6.630324363708496,86759.0
73,Loss/Contrast,6.616487979888916,86760.0
74,Loss/Contrast,6.6195387840271,86761.0
75,Loss/Contrast,6.630180835723877,86762.0
76,Loss/Contrast,6.639112949371338,86763.0
77,Loss/Contrast,6.639074802398682,86765.0
78,Loss/Contrast,6.723097324371338,86767.0
79,Loss/Contrast,6.6934494972229,86768.0
80,Loss/Contrast,6.6686110496521,86769.0
81,Loss/Contrast,6.693254470825195,86771.0
82,Loss/Contrast,6.67995548248291,86772.0
83,Loss/Contrast,6.698958396911621,86774.0
84,Loss/Contrast,6.641301155090332,86775.0
85,Loss/Contrast,6.64352560043335,86776.0
86,Loss/Contrast,6.6082763671875,86777.0
87,Loss/Contrast,6.583033084869385,86778.0
88,Loss/Contrast,6.597569465637207,86779.0
89,Loss/Contrast,6.649855136871338,86781.0
90,Loss/Contrast,6.601710319519043,86783.0
91,Loss/Contrast,6.633006572723389,86784.0
92,Loss/Contrast,6.633553504943848,86786.0
93,Loss/Contrast,6.637144088745117,86787.0
94,Loss/Contrast,6.631860256195068,86788.0
95,Loss/Contrast,6.674832344055176,86790.0
96,Loss/Contrast,6.714821815490723,86791.0
97,Loss/Contrast,6.681026935577393,86792.0
98,Loss/Contrast,6.631231784820557,86794.0
99,Loss/Contrast,6.7406840324401855,86795.0
100,Loss/Contrast,6.681258201599121,86796.0
101,Loss/Contrast,6.612115383148193,86798.0
102,Loss/Contrast,6.647745609283447,86800.0
103,Loss/Contrast,6.699494361877441,86801.0
104,Loss/Contrast,6.674855709075928,86802.0
105,Loss/Contrast,6.662664413452148,86804.0
106,Loss/Contrast,6.729841232299805,86805.0
107,Loss/Contrast,6.6505126953125,86807.0
108,Loss/Contrast,6.680028438568115,86808.0
109,Loss/Contrast,6.66582727432251,86810.0
110,Loss/Contrast,6.695170879364014,86811.0
111,Loss/Contrast,6.692846775054932,86812.0
112,Loss/Contrast,6.627987861633301,86813.0
113,Loss/Contrast,6.617678642272949,86814.0
114,Loss/Contrast,6.663946628570557,86815.0
115,Loss/Contrast,6.672309875488281,86816.0
116,Loss/Contrast,6.696468830108643,86817.0
117,Loss/Contrast,6.6675028800964355,86818.0
118,Loss/Contrast,6.730158805847168,86820.0
119,Loss/Contrast,6.659262657165527,86821.0
120,Loss/Contrast,6.7082624435424805,86823.0
121,Loss/Contrast,6.692145824432373,86824.0
122,Loss/Contrast,6.760718822479248,86827.0
123,Loss/Contrast,6.733461856842041,86829.0
124,Loss/Contrast,6.731456279754639,86830.0
125,Loss/Contrast,6.730388164520264,86831.0
126,Loss/Contrast,6.67581844329834,86832.0
127,Loss/Contrast,6.641102313995361,86838.0
128,Loss/Contrast,6.656077861785889,86840.0
129,Loss/Contrast,6.718636512756348,86841.0
130,Loss/Contrast,6.641191005706787,86842.0
131,Loss/Contrast,6.643060207366943,86843.0
132,Loss/Contrast,6.659247398376465,86844.0
133,Loss/Contrast,6.660815238952637,86845.0
134,Loss/Contrast,6.762418270111084,86846.0
135,Loss/Contrast,6.641307830810547,86847.0
136,Loss/Contrast,6.638837814331055,86848.0
137,Loss/Contrast,6.624367713928223,86849.0
138,Loss/Contrast,6.61798095703125,86850.0
139,Loss/Contrast,6.615060329437256,86851.0
140,Loss/Contrast,6.614762783050537,86853.0
141,Loss/Contrast,6.707672595977783,86854.0
142,Loss/Contrast,6.641635894775391,86856.0
143,Loss/Contrast,6.607133865356445,86857.0
144,Loss/Contrast,6.595805644989014,86858.0
145,Loss/Contrast,6.603085994720459,86859.0
146,Loss/Contrast,6.605890274047852,86861.0
147,Loss/Contrast,6.707188606262207,86862.0
148,Loss/Contrast,6.647885799407959,86864.0
149,Loss/Contrast,6.644368648529053,86866.0
150,Loss/Contrast,6.6155500411987305,86867.0
151,Loss/Contrast,6.703495502471924,86868.0
152,Loss/Contrast,6.656107425689697,86869.0
153,Loss/Contrast,6.624127388000488,86870.0
154,Loss/Contrast,6.698949337005615,86871.0
155,Loss/Contrast,6.660696983337402,86872.0
156,Loss/Contrast,6.639599323272705,86874.0
157,Loss/Contrast,6.619550704956055,86875.0
158,Loss/Contrast,6.620082378387451,86876.0
159,Loss/Contrast,6.622103214263916,86877.0
160,Loss/Contrast,6.6119537353515625,86878.0
161,Loss/Contrast,6.6975417137146,86879.0
162,Loss/Contrast,6.696342945098877,86881.0
163,Loss/Contrast,6.7303996086120605,86883.0
164,Loss/Contrast,6.688355445861816,86885.0
165,Loss/Contrast,6.645744323730469,86887.0
166,Loss/Contrast,6.627985000610352,86888.0
167,Loss/Contrast,6.610060214996338,86890.0
168,Loss/Contrast,6.619081497192383,86891.0
169,Loss/Contrast,6.645425796508789,86892.0
170,Loss/Contrast,6.668700695037842,86893.0
171,Loss/Contrast,6.606391429901123,86894.0
172,Loss/Contrast,6.780386924743652,86895.0
173,Loss/Contrast,6.715473175048828,86896.0
174,Loss/Contrast,6.769407749176025,86898.0
