,metric,value,step
80,Loss/Contrast,-2.2389016151428223,1026.0
3418,Loss/Contrast,-2.219398021697998,1035.0
81,Loss/Contrast,-2.276364326477051,1040.0
3419,Loss/Contrast,-2.223130702972412,1053.0
82,Loss/Contrast,-2.2963500022888184,1057.0
3420,Loss/Contrast,-2.296877861022949,1061.0
83,Loss/Contrast,-2.2522926330566406,1062.0
3421,Loss/Contrast,-2.2905123233795166,1062.0
3422,Loss/Contrast,-2.2529802322387695,1067.0
84,Loss/Contrast,-2.3173234462738037,1069.0
3423,Loss/Contrast,-2.269594192504883,1075.0
3424,Loss/Contrast,-2.26737117767334,1077.0
85,Loss/Contrast,-2.286339521408081,1080.0
3425,Loss/Contrast,-2.3172008991241455,1083.0
86,Loss/Contrast,-2.30192232131958,1087.0
3426,Loss/Contrast,-2.1519546508789062,1088.0
87,Loss/Contrast,-2.3178791999816895,1092.0
3427,Loss/Contrast,-2.2480430603027344,1093.0
3428,Loss/Contrast,-2.2600300312042236,1106.0
3429,Loss/Contrast,-2.263044595718384,1122.0
88,Loss/Contrast,-2.256282091140747,1129.0
3430,Loss/Contrast,-2.187189817428589,1157.0
3431,Loss/Contrast,-2.365149974822998,1169.0
3432,Loss/Contrast,-2.2654290199279785,1173.0
89,Loss/Contrast,-2.275667428970337,1178.0
90,Loss/Contrast,-2.3038742542266846,1195.0
3433,Loss/Contrast,-2.2335524559020996,1196.0
3434,Loss/Contrast,-2.287914752960205,1219.0
91,Loss/Contrast,-2.235196113586426,1222.0
3435,Loss/Contrast,-2.188897132873535,1223.0
3436,Loss/Contrast,-2.2083253860473633,1227.0
3437,Loss/Contrast,-2.309065580368042,1233.0
3438,Loss/Contrast,-2.3373069763183594,1236.0
92,Loss/Contrast,-2.314682960510254,1237.0
3439,Loss/Contrast,-2.2794055938720703,1243.0
3440,Loss/Contrast,-2.2651848793029785,1251.0
3441,Loss/Contrast,-2.224874496459961,1256.0
93,Loss/Contrast,-2.212601661682129,1267.0
94,Loss/Contrast,-2.3094568252563477,1291.0
3442,Loss/Contrast,-2.2113513946533203,1291.0
95,Loss/Contrast,-2.340179920196533,1303.0
3443,Loss/Contrast,-2.2174792289733887,1306.0
96,Loss/Contrast,-2.270689010620117,1327.0
3444,Loss/Contrast,-2.244065284729004,1329.0
3445,Loss/Contrast,-2.2189502716064453,1338.0
97,Loss/Contrast,-2.2952260971069336,1338.0
3446,Loss/Contrast,-2.272831916809082,1347.0
98,Loss/Contrast,-2.3474390506744385,1353.0
3447,Loss/Contrast,-2.293825626373291,1385.0
99,Loss/Contrast,-2.2826199531555176,1391.0
100,Loss/Contrast,-2.3097944259643555,1400.0
3448,Loss/Contrast,-2.2585084438323975,1402.0
3449,Loss/Contrast,-2.201712131500244,1405.0
101,Loss/Contrast,-2.2710886001586914,1410.0
102,Loss/Contrast,-2.2415108680725098,1412.0
3450,Loss/Contrast,-2.212874174118042,1415.0
103,Loss/Contrast,-2.304800033569336,1421.0
104,Loss/Contrast,-2.284553289413452,1437.0
105,Loss/Contrast,-2.270738363265991,1439.0
3451,Loss/Contrast,-2.2206082344055176,1441.0
106,Loss/Contrast,-2.2833364009857178,1475.0
3452,Loss/Contrast,-2.2637414932250977,1477.0
107,Loss/Contrast,-2.26550030708313,1483.0
108,Loss/Contrast,-2.25726318359375,1485.0
109,Loss/Contrast,-2.2417523860931396,1499.0
110,Loss/Contrast,-2.2723820209503174,1514.0
