,metric,value,step
2913,Loss/Contrast,4.018093109130859,1016.0
2914,Loss/Contrast,4.1332783699035645,1017.0
86,Loss/Contrast,4.27562141418457,1026.0
2915,Loss/Contrast,4.281029224395752,1031.0
87,Loss/Contrast,4.445916175842285,1040.0
2916,Loss/Contrast,4.203983306884766,1056.0
2917,Loss/Contrast,4.293141841888428,1057.0
88,Loss/Contrast,4.213533401489258,1057.0
2918,Loss/Contrast,3.8767192363739014,1058.0
89,Loss/Contrast,4.265836715698242,1062.0
90,Loss/Contrast,3.9872031211853027,1069.0
2919,Loss/Contrast,4.475239276885986,1077.0
91,Loss/Contrast,3.7340269088745117,1080.0
2920,Loss/Contrast,4.170997142791748,1083.0
2921,Loss/Contrast,4.201161861419678,1086.0
92,Loss/Contrast,4.242328643798828,1087.0
93,Loss/Contrast,4.51288366317749,1092.0
2922,Loss/Contrast,4.2790207862854,1098.0
2923,Loss/Contrast,4.4092183113098145,1101.0
2924,Loss/Contrast,4.576530456542969,1109.0
2925,Loss/Contrast,4.177921295166016,1110.0
2926,Loss/Contrast,3.83481502532959,1112.0
2927,Loss/Contrast,3.943021059036255,1124.0
94,Loss/Contrast,4.217994689941406,1129.0
2928,Loss/Contrast,4.29340124130249,1137.0
95,Loss/Contrast,4.149604320526123,1155.0
2929,Loss/Contrast,4.3201751708984375,1158.0
2930,Loss/Contrast,4.396759986877441,1172.0
2931,Loss/Contrast,4.222844123840332,1176.0
2932,Loss/Contrast,4.255126953125,1177.0
96,Loss/Contrast,4.099452018737793,1178.0
97,Loss/Contrast,4.148394584655762,1195.0
2933,Loss/Contrast,3.9884560108184814,1209.0
98,Loss/Contrast,3.9341275691986084,1222.0
99,Loss/Contrast,4.3672356605529785,1237.0
2934,Loss/Contrast,4.359307289123535,1247.0
100,Loss/Contrast,4.25266170501709,1267.0
2935,Loss/Contrast,4.366639137268066,1279.0
101,Loss/Contrast,4.118014335632324,1291.0
102,Loss/Contrast,4.029335021972656,1303.0
2936,Loss/Contrast,3.7005012035369873,1312.0
2937,Loss/Contrast,4.303208827972412,1324.0
103,Loss/Contrast,3.991281747817993,1327.0
2938,Loss/Contrast,3.7950973510742188,1333.0
104,Loss/Contrast,4.147068500518799,1338.0
2939,Loss/Contrast,4.2786993980407715,1341.0
2940,Loss/Contrast,4.418674945831299,1347.0
105,Loss/Contrast,4.091333389282227,1353.0
2941,Loss/Contrast,3.902891159057617,1374.0
106,Loss/Contrast,4.026039123535156,1391.0
107,Loss/Contrast,3.8938162326812744,1400.0
108,Loss/Contrast,4.048125743865967,1410.0
109,Loss/Contrast,4.23127555847168,1412.0
110,Loss/Contrast,4.168769836425781,1421.0
2942,Loss/Contrast,4.397836208343506,1428.0
2943,Loss/Contrast,4.102360725402832,1430.0
111,Loss/Contrast,4.0261688232421875,1437.0
112,Loss/Contrast,3.4707882404327393,1439.0
2944,Loss/Contrast,4.213883876800537,1442.0
2945,Loss/Contrast,4.111998558044434,1448.0
2946,Loss/Contrast,3.949536085128784,1450.0
2947,Loss/Contrast,4.166508674621582,1455.0
2948,Loss/Contrast,3.9405763149261475,1463.0
113,Loss/Contrast,4.007037162780762,1475.0
2949,Loss/Contrast,4.363938808441162,1481.0
114,Loss/Contrast,4.0216498374938965,1483.0
115,Loss/Contrast,3.759011745452881,1485.0
2950,Loss/Contrast,4.285091876983643,1491.0
116,Loss/Contrast,3.9106040000915527,1499.0
2951,Loss/Contrast,4.185070037841797,1499.0
2952,Loss/Contrast,4.278407573699951,1502.0
2953,Loss/Contrast,3.889047861099243,1509.0
117,Loss/Contrast,3.9326672554016113,1514.0
118,Loss/Contrast,4.384066104888916,1520.0
2954,Loss/Contrast,3.7188467979431152,1520.0
2955,Loss/Contrast,3.9336934089660645,1521.0
2956,Loss/Contrast,3.812997817993164,1533.0
2957,Loss/Contrast,4.376123428344727,1534.0
2958,Loss/Contrast,3.998476982116699,1543.0
2959,Loss/Contrast,4.384390830993652,1558.0
119,Loss/Contrast,3.997500419616699,1559.0
2960,Loss/Contrast,4.052868843078613,1575.0
120,Loss/Contrast,4.445234775543213,1577.0
121,Loss/Contrast,4.006526947021484,1579.0
2961,Loss/Contrast,4.175009250640869,1579.0
2962,Loss/Contrast,4.072281360626221,1580.0
2963,Loss/Contrast,4.301637172698975,1586.0
2964,Loss/Contrast,3.765205144882202,1609.0
122,Loss/Contrast,4.035120964050293,1610.0
2965,Loss/Contrast,4.163354873657227,1615.0
123,Loss/Contrast,4.076669216156006,1625.0
2966,Loss/Contrast,3.911632537841797,1625.0
124,Loss/Contrast,4.2783613204956055,1628.0
125,Loss/Contrast,4.2270660400390625,1634.0
126,Loss/Contrast,4.303521156311035,1635.0
127,Loss/Contrast,3.937034845352173,1638.0
2967,Loss/Contrast,3.8707871437072754,1653.0
128,Loss/Contrast,3.974775791168213,1655.0
2968,Loss/Contrast,3.8660693168640137,1659.0
129,Loss/Contrast,4.155884742736816,1668.0
2969,Loss/Contrast,4.065089225769043,1681.0
130,Loss/Contrast,3.9039595127105713,1690.0
131,Loss/Contrast,3.9750900268554688,1697.0
132,Loss/Contrast,4.16904878616333,1704.0
2970,Loss/Contrast,4.517561435699463,1712.0
2971,Loss/Contrast,3.7202842235565186,1715.0
2972,Loss/Contrast,4.15715217590332,1730.0
2973,Loss/Contrast,3.606245994567871,1734.0
133,Loss/Contrast,4.104512691497803,1739.0
134,Loss/Contrast,3.6986844539642334,1770.0
135,Loss/Contrast,4.123892307281494,1778.0
2974,Loss/Contrast,3.690680742263794,1781.0
136,Loss/Contrast,4.220396041870117,1788.0
2975,Loss/Contrast,3.8907549381256104,1795.0
2976,Loss/Contrast,3.8893136978149414,1796.0
2977,Loss/Contrast,3.990776538848877,1805.0
2978,Loss/Contrast,4.0759172439575195,1828.0
2979,Loss/Contrast,3.8022232055664062,1831.0
137,Loss/Contrast,4.134334087371826,1835.0
138,Loss/Contrast,4.350950241088867,1844.0
2980,Loss/Contrast,4.30880880355835,1850.0
139,Loss/Contrast,4.109168529510498,1864.0
140,Loss/Contrast,4.121865272521973,1867.0
141,Loss/Contrast,4.024196624755859,1882.0
2981,Loss/Contrast,3.9357643127441406,1884.0
2982,Loss/Contrast,3.7784478664398193,1893.0
142,Loss/Contrast,3.987186908721924,1901.0
143,Loss/Contrast,4.3924241065979,1905.0
2983,Loss/Contrast,3.8802011013031006,1911.0
144,Loss/Contrast,4.0031914710998535,1917.0
145,Loss/Contrast,3.471371650695801,1923.0
2984,Loss/Contrast,4.15988826751709,1925.0
146,Loss/Contrast,4.05837345123291,1926.0
2985,Loss/Contrast,4.019763946533203,1952.0
2986,Loss/Contrast,4.245683670043945,1968.0
2987,Loss/Contrast,3.84993839263916,1996.0
147,Loss/Contrast,3.7851622104644775,1998.0
2988,Loss/Contrast,4.480245113372803,2005.0
2989,Loss/Contrast,3.9913904666900635,2013.0
2990,Loss/Contrast,3.817108392715454,2020.0
2991,Loss/Contrast,4.22989559173584,2028.0
148,Loss/Contrast,3.9729952812194824,2029.0
149,Loss/Contrast,4.135201930999756,2031.0
2992,Loss/Contrast,3.7667887210845947,2037.0
150,Loss/Contrast,3.9871668815612793,2047.0
151,Loss/Contrast,3.873231887817383,2060.0
152,Loss/Contrast,3.9813220500946045,2064.0
2993,Loss/Contrast,4.015414714813232,2068.0
153,Loss/Contrast,3.9385602474212646,2090.0
2994,Loss/Contrast,3.8548426628112793,2101.0
2995,Loss/Contrast,3.830509901046753,2111.0
2996,Loss/Contrast,3.556612968444824,2113.0
154,Loss/Contrast,3.829559803009033,2117.0
155,Loss/Contrast,3.8895909786224365,2123.0
2997,Loss/Contrast,4.108157634735107,2127.0
2998,Loss/Contrast,4.1227827072143555,2136.0
156,Loss/Contrast,3.8469583988189697,2153.0
157,Loss/Contrast,4.009953498840332,2169.0
2999,Loss/Contrast,3.392622709274292,2178.0
3000,Loss/Contrast,3.7117433547973633,2197.0
3001,Loss/Contrast,4.220585823059082,2228.0
158,Loss/Contrast,4.02982759475708,2237.0
159,Loss/Contrast,3.698037624359131,2243.0
160,Loss/Contrast,3.8231449127197266,2247.0
3002,Loss/Contrast,3.8513548374176025,2262.0
3003,Loss/Contrast,3.764467716217041,2263.0
3004,Loss/Contrast,3.543483257293701,2272.0
161,Loss/Contrast,4.2109055519104,2275.0
3005,Loss/Contrast,3.997096061706543,2280.0
3006,Loss/Contrast,3.812220335006714,2297.0
162,Loss/Contrast,3.872992992401123,2313.0
163,Loss/Contrast,4.1623687744140625,2333.0
164,Loss/Contrast,4.050502777099609,2344.0
3007,Loss/Contrast,4.3973870277404785,2350.0
3008,Loss/Contrast,4.022410869598389,2358.0
3009,Loss/Contrast,4.093934535980225,2359.0
165,Loss/Contrast,4.046246528625488,2388.0
166,Loss/Contrast,4.3132710456848145,2390.0
167,Loss/Contrast,3.8643105030059814,2401.0
168,Loss/Contrast,4.356253623962402,2404.0
3010,Loss/Contrast,3.9507498741149902,2411.0
169,Loss/Contrast,3.9759433269500732,2424.0
170,Loss/Contrast,3.9751036167144775,2425.0
3011,Loss/Contrast,3.8731577396392822,2444.0
171,Loss/Contrast,3.868030548095703,2450.0
3012,Loss/Contrast,3.8005242347717285,2452.0
172,Loss/Contrast,3.877371072769165,2459.0
3013,Loss/Contrast,3.721043109893799,2460.0
3014,Loss/Contrast,4.061763286590576,2466.0
173,Loss/Contrast,3.9141573905944824,2467.0
3015,Loss/Contrast,4.440505027770996,2470.0
174,Loss/Contrast,3.943234920501709,2475.0
3016,Loss/Contrast,3.3969883918762207,2478.0
3017,Loss/Contrast,3.689025640487671,2495.0
175,Loss/Contrast,3.9275126457214355,2502.0
176,Loss/Contrast,3.599835157394409,2514.0
3018,Loss/Contrast,3.793445110321045,2514.0
177,Loss/Contrast,3.967494010925293,2516.0
3019,Loss/Contrast,3.8555166721343994,2527.0
178,Loss/Contrast,3.8388774394989014,2529.0
179,Loss/Contrast,3.7717015743255615,2533.0
