,metric,value,step
112,Loss/Contrast,8.123908996582031,1011.0
113,Loss/Contrast,8.074054718017578,1026.0
114,Loss/Contrast,8.016420364379883,1034.0
115,Loss/Contrast,8.102380752563477,1040.0
116,Loss/Contrast,8.158519744873047,1057.0
117,Loss/Contrast,8.171443939208984,1062.0
118,Loss/Contrast,8.133455276489258,1069.0
119,Loss/Contrast,8.095178604125977,1080.0
120,Loss/Contrast,8.03759765625,1087.0
121,Loss/Contrast,8.097752571105957,1092.0
122,Loss/Contrast,8.087246894836426,1101.0
123,Loss/Contrast,8.158863067626953,1110.0
124,Loss/Contrast,8.201397895812988,1129.0
125,Loss/Contrast,8.14976692199707,1143.0
126,Loss/Contrast,8.134448051452637,1155.0
127,Loss/Contrast,8.138176918029785,1178.0
128,Loss/Contrast,8.132991790771484,1195.0
129,Loss/Contrast,8.17918872833252,1218.0
130,Loss/Contrast,8.210638999938965,1222.0
131,Loss/Contrast,8.113015174865723,1237.0
132,Loss/Contrast,8.052101135253906,1267.0
133,Loss/Contrast,8.1873140335083,1291.0
134,Loss/Contrast,8.17827033996582,1292.0
135,Loss/Contrast,8.107796669006348,1303.0
136,Loss/Contrast,8.14342975616455,1327.0
137,Loss/Contrast,8.051889419555664,1335.0
138,Loss/Contrast,8.146503448486328,1338.0
139,Loss/Contrast,8.153976440429688,1353.0
140,Loss/Contrast,8.104140281677246,1357.0
141,Loss/Contrast,8.239859580993652,1371.0
142,Loss/Contrast,8.184707641601562,1391.0
143,Loss/Contrast,8.0837984085083,1400.0
144,Loss/Contrast,8.07037353515625,1410.0
145,Loss/Contrast,8.078030586242676,1412.0
146,Loss/Contrast,8.17549991607666,1421.0
147,Loss/Contrast,8.193718910217285,1437.0
148,Loss/Contrast,8.091058731079102,1439.0
149,Loss/Contrast,8.194791793823242,1460.0
150,Loss/Contrast,8.169764518737793,1467.0
151,Loss/Contrast,8.083986282348633,1475.0
152,Loss/Contrast,8.14011001586914,1483.0
153,Loss/Contrast,8.201364517211914,1485.0
154,Loss/Contrast,8.157567024230957,1499.0
155,Loss/Contrast,8.151178359985352,1514.0
156,Loss/Contrast,8.106691360473633,1518.0
157,Loss/Contrast,8.093063354492188,1520.0
158,Loss/Contrast,8.123300552368164,1559.0
159,Loss/Contrast,8.098106384277344,1577.0
160,Loss/Contrast,8.164139747619629,1578.0
161,Loss/Contrast,8.100604057312012,1579.0
162,Loss/Contrast,8.247116088867188,1601.0
163,Loss/Contrast,8.1385498046875,1610.0
164,Loss/Contrast,8.063586235046387,1612.0
165,Loss/Contrast,8.182371139526367,1625.0
166,Loss/Contrast,8.080525398254395,1628.0
167,Loss/Contrast,8.029711723327637,1634.0
168,Loss/Contrast,8.081767082214355,1635.0
169,Loss/Contrast,8.195021629333496,1638.0
170,Loss/Contrast,8.054712295532227,1655.0
171,Loss/Contrast,8.141626358032227,1668.0
172,Loss/Contrast,8.10573959350586,1673.0
173,Loss/Contrast,8.254871368408203,1684.0
174,Loss/Contrast,8.247654914855957,1690.0
175,Loss/Contrast,8.162839889526367,1694.0
176,Loss/Contrast,8.16901683807373,1697.0
177,Loss/Contrast,8.078975677490234,1704.0
178,Loss/Contrast,8.167804718017578,1739.0
179,Loss/Contrast,8.115815162658691,1770.0
180,Loss/Contrast,8.159796714782715,1778.0
181,Loss/Contrast,8.072647094726562,1788.0
182,Loss/Contrast,8.198915481567383,1829.0
183,Loss/Contrast,8.09841251373291,1835.0
184,Loss/Contrast,8.12200927734375,1844.0
185,Loss/Contrast,8.095755577087402,1859.0
186,Loss/Contrast,8.088523864746094,1864.0
187,Loss/Contrast,8.132488250732422,1867.0
188,Loss/Contrast,7.988162040710449,1882.0
189,Loss/Contrast,8.051607131958008,1901.0
190,Loss/Contrast,8.123653411865234,1905.0
191,Loss/Contrast,8.109179496765137,1917.0
192,Loss/Contrast,8.08397102355957,1923.0
193,Loss/Contrast,8.058631896972656,1926.0
194,Loss/Contrast,8.180397033691406,1928.0
195,Loss/Contrast,8.149301528930664,1957.0
196,Loss/Contrast,8.103487014770508,1963.0
197,Loss/Contrast,8.151803016662598,1986.0
198,Loss/Contrast,8.172432899475098,1998.0
199,Loss/Contrast,8.119853019714355,2020.0
200,Loss/Contrast,8.087971687316895,2029.0
201,Loss/Contrast,8.032811164855957,2031.0
202,Loss/Contrast,8.088212966918945,2036.0
203,Loss/Contrast,8.160870552062988,2039.0
204,Loss/Contrast,8.102001190185547,2047.0
205,Loss/Contrast,8.048733711242676,2060.0
206,Loss/Contrast,8.090664863586426,2064.0
207,Loss/Contrast,8.070527076721191,2090.0
208,Loss/Contrast,8.079910278320312,2091.0
209,Loss/Contrast,8.14883804321289,2117.0
210,Loss/Contrast,8.10626220703125,2120.0
211,Loss/Contrast,8.083633422851562,2123.0
212,Loss/Contrast,8.110589027404785,2153.0
213,Loss/Contrast,8.129528999328613,2169.0
214,Loss/Contrast,8.074440002441406,2237.0
215,Loss/Contrast,8.139260292053223,2243.0
216,Loss/Contrast,8.142621994018555,2247.0
217,Loss/Contrast,8.146708488464355,2275.0
218,Loss/Contrast,8.162288665771484,2302.0
219,Loss/Contrast,8.073315620422363,2313.0
220,Loss/Contrast,8.084847450256348,2333.0
221,Loss/Contrast,8.150642395019531,2335.0
222,Loss/Contrast,8.005459785461426,2344.0
223,Loss/Contrast,8.072654724121094,2388.0
224,Loss/Contrast,8.114728927612305,2390.0
225,Loss/Contrast,8.110194206237793,2401.0
226,Loss/Contrast,8.099166870117188,2404.0
